Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.5573770491803278,0.34325396825396826,0.36581828133552274,0.32952380952380955
Decision Tree,0.5081967213114754,0.49965127465127457,0.3636288998357963,0.3853479853479854
Random Forest,0.5081967213114754,0.2033333333333333,0.25287356321839083,0.22541310541310544
SVM,0.5245901639344263,0.2562881562881563,0.27723043240284617,0.25847781217750254
