Model,Best Score (F1-Macro),Best Params
Random Forest,0.2982922878291299,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 300}"
SVM,0.3303220909809145,"{'kernel': 'rbf', 'C': 10}"
